epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.029,1.49617,2.12609,0.8726,0.75525,0.67793,0.73034,0.3409,1.73457,1.19366,0.88151,0.00333039,0.00333039,0.00333039
2,796.82,1.55002,1.12843,0.8759,0.76515,0.72975,0.78736,0.43861,1.4434,1.24485,0.85952,0.00659776,0.00659776,0.00659776
3,1184.89,1.67637,1.26546,0.902,0.73553,0.64912,0.6988,0.33754,1.68394,1.28921,0.88652,0.00979912,0.00979912,0.00979912
4,1572.06,1.71435,1.32796,0.91139,0.7594,0.66973,0.72329,0.36669,1.59275,1.29959,0.87711,0.009703,0.009703,0.009703
5,1959.08,1.6231,1.19975,0.89941,0.80161,0.74264,0.79061,0.4249,1.48317,1.10545,0.86672,0.009604,0.009604,0.009604
6,2346.37,1.5253,1.09654,0.88618,0.79848,0.76291,0.81787,0.45555,1.40634,1.13329,0.85266,0.009505,0.009505,0.009505
7,2735.34,1.49101,1.05025,0.87923,0.79195,0.76261,0.81404,0.46743,1.39388,1.13741,0.84985,0.009406,0.009406,0.009406
8,3124.42,1.45386,1.01592,0.87111,0.80222,0.811,0.84701,0.47993,1.36352,1.043,0.8483,0.009307,0.009307,0.009307
9,3511.49,1.41564,0.9518,0.86829,0.8209,0.81779,0.85619,0.49518,1.36411,1.02895,0.84825,0.009208,0.009208,0.009208
10,3898.67,1.38967,0.94353,0.86446,0.8228,0.83556,0.86576,0.50019,1.33593,1.01924,0.84051,0.009109,0.009109,0.009109
11,4285.89,1.37393,0.91318,0.85883,0.82931,0.83195,0.86588,0.50692,1.33123,1.02159,0.83989,0.00901,0.00901,0.00901
12,4673.25,1.34774,0.88764,0.853,0.82023,0.83453,0.86933,0.51228,1.31604,0.99722,0.83784,0.008911,0.008911,0.008911
13,5060.42,1.3408,0.8736,0.85583,0.82927,0.85298,0.88809,0.51739,1.31004,0.97825,0.83892,0.008812,0.008812,0.008812
14,5447.65,1.32027,0.85059,0.85112,0.82672,0.85011,0.88423,0.53561,1.26763,0.97716,0.83611,0.008713,0.008713,0.008713
15,5834.93,1.28384,0.82846,0.84962,0.83804,0.85131,0.88836,0.53052,1.2857,0.97908,0.83487,0.008614,0.008614,0.008614
16,6221.95,1.28858,0.83274,0.84932,0.8319,0.84605,0.88172,0.51795,1.28875,0.99053,0.83687,0.008515,0.008515,0.008515
17,6608.98,1.27548,0.81199,0.84882,0.83543,0.86161,0.8903,0.53027,1.28094,0.99374,0.83506,0.008416,0.008416,0.008416
18,6996.25,1.26489,0.79868,0.8458,0.84812,0.8743,0.90274,0.54444,1.25985,1.00417,0.83174,0.008317,0.008317,0.008317
19,7383.44,1.24708,0.78418,0.8432,0.82821,0.87727,0.90114,0.54868,1.25296,0.96475,0.83314,0.008218,0.008218,0.008218
20,7770.76,1.24745,0.79292,0.84597,0.84739,0.86779,0.89733,0.5469,1.22711,0.97962,0.82771,0.008119,0.008119,0.008119
21,8158.21,1.23502,0.77519,0.84081,0.86491,0.86255,0.90333,0.54171,1.26161,0.98064,0.83326,0.00802,0.00802,0.00802
22,8545.81,1.22972,0.76438,0.84223,0.85062,0.85693,0.89403,0.5268,1.27964,0.96762,0.83343,0.007921,0.007921,0.007921
23,8933.16,1.21999,0.75484,0.84169,0.85376,0.85406,0.89657,0.53435,1.2696,1.00439,0.83446,0.007822,0.007822,0.007822
24,9320.8,1.21545,0.74159,0.84029,0.84928,0.8677,0.90377,0.54497,1.24494,0.94405,0.83269,0.007723,0.007723,0.007723
25,9708.45,1.21009,0.7419,0.83923,0.84171,0.8715,0.90624,0.55422,1.2381,0.98424,0.82975,0.007624,0.007624,0.007624
26,10096.2,1.19103,0.72483,0.83534,0.84694,0.87605,0.9051,0.55728,1.22802,0.96403,0.82829,0.007525,0.007525,0.007525
27,10483.9,1.19316,0.7192,0.83643,0.83322,0.89001,0.90657,0.55969,1.23122,0.95416,0.8286,0.007426,0.007426,0.007426
28,10871.3,1.1927,0.72328,0.83813,0.84398,0.88284,0.90436,0.5437,1.25646,0.95618,0.83214,0.007327,0.007327,0.007327
29,11258.7,1.17502,0.71078,0.83326,0.83827,0.88757,0.91028,0.56107,1.22086,0.97948,0.83027,0.007228,0.007228,0.007228
30,11646.3,1.18351,0.71145,0.8363,0.83588,0.88728,0.90054,0.54203,1.26491,0.99592,0.83462,0.007129,0.007129,0.007129
31,12034.8,1.16919,0.70843,0.83323,0.86284,0.88175,0.91244,0.54928,1.25239,0.96206,0.83179,0.00703,0.00703,0.00703
32,12424.6,1.15188,0.69003,0.83276,0.87254,0.87809,0.9173,0.56784,1.22201,0.95446,0.82949,0.006931,0.006931,0.006931
33,12813.2,1.16908,0.69682,0.83381,0.86284,0.87747,0.91868,0.56415,1.22829,0.94069,0.82812,0.006832,0.006832,0.006832
34,13201,1.14412,0.68128,0.83226,0.86155,0.88816,0.91783,0.57053,1.20672,0.9868,0.82692,0.006733,0.006733,0.006733
35,13588.9,1.14368,0.68005,0.83032,0.85503,0.88645,0.91517,0.54497,1.25383,0.94805,0.83378,0.006634,0.006634,0.006634
